"date","federal_state","company","arrivals","nights"
"1973-11","W96-1",71,249,7928
"1973-11","W96-1",60,226,1732
"1973-11","W96-1",998,129,383
"1973-11","W96-3",60,2416,22680
"1973-11","W96-3",75,219,8484
"1973-11","W96-4",3,11836,63028
"1973-11","W96-4",73,293,5678
"1973-11","W96-4",83,38,78
"1973-11","W96-5",71,132,2,24221
"1973-11","W96-6",72,20,607
"1973-11","W96-8",60,1042,5832
"1973-12","W96-1",74,146,2479
"1973-12","W96-3",2,6352,28592
"1973-12","W96-6",84,1559,10638
"1973-12","W96-6",998,653,5732
"1973-12","W96-8",3,20173,127119
"1974-01","W96-3",70,139,277
"1974-01","W96-3",999,500,2981
"1974-01","W96-5",70,33,615
"1974-01","W96-5",81,4404,27903
"1974-01","W96-8",73,585,6817
"1974-01","W96-8",84,1414,7939
"1974-02","W96-2",70,2,24
"1974-02","W96-2",73,132,486
"1974-02","W96-3",1,3657,13053
"1974-02","W96-6",72,37,629
"1974-02","W96-8",2,16168,105312
"1974-02","W96-8",84,1061,5584
"1974-03","W96-1",2,1969,9339
"1974-03","W96-3",70,103,343
"1974-03","W96-3",81,747,3001
"1974-03","W96-3",75,200,9044
"1974-03","W96-4",2,13368,39032
"1974-03","W96-6",999,1644,9362
"1974-03","W96-7",70,392,4567
"1974-03","W96-7",71,64,1664
"1974-03","W96-8",1,16132,120591
"1974-04","W96-1",1,522,3108
"1974-04","W96-4",1,13071,46883
"1974-04","W96-4",70,284,1029
"1974-04","W96-4",60,8091,57228
"1974-04","W96-4",75,65,4888
"1974-04","W96-5",2,49885,242185
"1974-04","W96-6",3,38415,182080
"1974-04","W96-6",60,16651,116104
"1974-04","W96-8",83,62,132
"1974-04","W96-9",84,234,805
"1974-05","W96-3",83,724,865
"1974-05","W96-3",84,362,3941
"1974-05","W96-4",71,1851,46497
"1974-05","W96-4",74,1002,13404
"1974-05","W96-6",3,35037,167046
"1974-05","W96-7",1,43947,101401
"1974-06","W96-3",998,479,6605
"1974-06","W96-8",1,13221,43824
"1974-06","W96-8",81,2729,13994
"1974-07","W96-1",3,12360,79731
"1974-07","W96-1",81,1050,10843
"1974-07","W96-2",2,46715,360596
"1974-07","W96-2",999,2634,31388
"1974-07","W96-3",60,21175,276930
"1974-07","W96-4",60,72573,757277
"1974-07","W96-4",75,59,5201
"1974-07","W96-6",70,9129,33654
"1974-07","W96-7",999,19703,79972
"1974-07","W96-8",84,1493,14408
"1974-07","W96-8",60,58039,600319
"1974-07","W96-9",84,249,608
"1974-08","W96-3",81,1501,7006
"1974-08","W96-4",70,19520,128612
"1974-08","W96-6",3,84863,595887
"1974-08","W96-7",998,5383,53375
"1974-09","W96-2",999,257,5063
"1974-09","W96-3",1,11375,38028
